Node,Distance,Predecessor
1,0,['1']
2,1943.0,"['1', '76', '94', '81', '2']"
6,2318.0,"['1', '60', '31', '6']"
7,2548.0,"['1', '76', '65', '79', '40', '45', '53', '7']"
8,911.0,"['1', '76', '96', '48', '8']"
9,2505.0,"['1', '76', '65', '79', '54', '50', '9']"
11,1394.0,"['1', '76', '96', '98', '11']"
12,1437.0,"['1', '76', '65', '79', '78', '12']"
14,3642.0,"['1', '76', '65', '79', '54', '46', '17', '14']"
15,1523.0,"['1', '76', '96', '98', '90', '15']"
16,1578.0,"['1', '76', '96', '48', '75', '16']"
17,3343.0,"['1', '76', '65', '79', '54', '46', '17']"
18,2320.0,"['1', '60', '26', '74', '18']"
19,1500.0,"['1', '76', '65', '79', '78', '12', '19']"
21,2564.0,"['1', '76', '96', '98', '90', '15', '77', '21']"
22,3544.0,"['1', '76', '65', '79', '40', '45', '53', '88', '22']"
23,2038.0,"['1', '60', '26', '23']"
24,1980.0,"['1', '76', '65', '79', '54', '24']"
25,1640.0,"['1', '76', '96', '98', '90', '15', '25']"
26,1210.0,"['1', '60', '26']"
30,3522.0,"['1', '76', '96', '98', '90', '15', '77', '21', '30']"
31,1598.0,"['1', '60', '31']"
32,1036.0,"['1', '76', '96', '48', '75', '32']"
33,1508.0,"['1', '76', '96', '48', '75', '32', '33']"
34,2117.0,"['1', '76', '65', '79', '54', '50', '34']"
35,1697.0,"['1', '76', '65', '79', '54', '35']"
37,2498.0,"['1', '76', '96', '48', '75', '32', '33', '89', '37']"
40,1884.0,"['1', '76', '65', '79', '40']"
45,2050.0,"['1', '76', '65', '79', '40', '45']"
46,2350.0,"['1', '76', '65', '79', '54', '46']"
48,633.0,"['1', '76', '96', '48']"
49,904.0,"['1', '76', '49']"
50,2026.0,"['1', '76', '65', '79', '54', '50']"
52,2673.0,"['1', '76', '65', '79', '54', '50', '52']"
53,2383.0,"['1', '76', '65', '79', '40', '45', '53']"
54,1529.0,"['1', '76', '65', '79', '54']"
57,2443.0,"['1', '76', '96', '98', '90', '15', '57']"
60,824.0,"['1', '60']"
62,1165.0,"['1', '76', '96', '48', '64', '62']"
64,676.0,"['1', '76', '96', '48', '64']"
65,482.0,"['1', '76', '65']"
66,1679.0,"['1', '76', '96', '48', '8', '97', '66']"
67,2098.0,"['1', '76', '96', '48', '64', '84', '67']"
68,2169.0,"['1', '76', '65', '79', '40', '68']"
72,2692.0,"['1', '76', '96', '98', '90', '15', '57', '72']"
73,2332.0,"['1', '60', '26', '74', '18', '73']"
74,1838.0,"['1', '60', '26', '74']"
75,803.0,"['1', '76', '96', '48', '75']"
76,348.0,"['1', '76']"
77,2469.0,"['1', '76', '96', '98', '90', '15', '77']"
78,1164.0,"['1', '76', '65', '79', '78']"
79,950.0,"['1', '76', '65', '79']"
81,989.0,"['1', '76', '94', '81']"
83,2616.0,"['1', '76', '94', '81', '2', '83']"
84,1177.0,"['1', '76', '96', '48', '64', '84']"
86,2843.0,"['1', '76', '65', '79', '40', '68', '86']"
87,2360.0,"['1', '76', '65', '79', '40', '68', '87']"
88,3338.0,"['1', '76', '65', '79', '40', '45', '53', '88']"
89,2047.0,"['1', '76', '96', '48', '75', '32', '33', '89']"
90,728.0,"['1', '76', '96', '98', '90']"
91,2214.0,"['1', '76', '96', '98', '90', '15', '25', '91']"
94,583.0,"['1', '76', '94']"
95,1466.0,"['1', '76', '96', '48', '75', '32', '95']"
96,382.0,"['1', '76', '96']"
97,955.0,"['1', '76', '96', '48', '8', '97']"
98,430.0,"['1', '76', '96', '98']"
100,2781.0,"['1', '76', '96', '48', '75', '32', '33', '89', '100']"
